"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"Bridge";1;"BRIDGE";;;
2;"R4";"r_0805";1;"100k";;;
3;"P1";"JACK_ALIM";1;"V_IN";;;
4;"C20,C19";"C_ELCO_SMD";2;"100uF";;;
5;"C6,C13,C1,C7,C9,C17,C16,C21,C22,C23";"c_0805";10;"100nF";;;
6;"C8";"c_0805";1;"3.3nF";;;
7;"U5";"TPS62132";1;"TPS62133";;;
8;"J3";"rtcBOB";1;"rtcBOB/CD";;;
9;"C2,C5";"c_0805";2;"1uF";;;
10;"C3";"c_0805";1;"220nF";;;
11;"C10,C11";"c_0805";2;"22pF";;;
12;"C14,C18";"c_0805";2;"10nF";;;
13;"J17";"STACK-R";1;"STACK_R";;;
14;"R6,R10";"Pot-Var2";2;"25k";;;
15;"J2";"PIN_ARRAY-6X1";1;"FTDI";;;
16;"J12";"PIN_ARRAY_4x1";1;"PAR_1";;;
17;"J14";"PIN_ARRAY_4x1";1;"PAR_3";;;
18;"BT1";"CR2032";1;"BATT_RTC";;;
19;"R8";"r_0805";1;"200k";;;
20;"U6";"SO8E";1;"MSGEQ7";;;
21;"R3";"r_0805";1;"100E";;;
22;"X1";"Xtal_SMD2";1;"16MHz";;;
23;"U4";"DS3231";1;"DS3231N";;;
24;"U2";"TXB0104D";1;"TXB0104D";;;
25;"R9,R7,R2,R1,R11,R12,R13,R14,R15";"r_0805";9;"10k";;;
26;"R5,R16";"r_0805";2;"1k5";;;
27;"U7";"TQFP32";1;"ATMEGA328";;;
28;"B15,B3,B2";"I/O";3;"I/O";;;
29;"J13";"SIL-8";1;"PAR_2";;;
30;"J1";"ISP";1;"ISP";;;
31;"Q1";"SOT23-3";1;"MMBT2222";;;
32;"U1";"SOT23-3";1;"MCP1700T-3V3 SOT23-3";;;
33;"D1";"d_0805";1;"LED";;;
34;"U3";"TSOP382";1;"TSOP382";;;
35;"J5";"Jack_3.5mm_SJ1-3513";1;"JACK_3.5MM_5PIN";;;
36;"SW1";"SW-PB";1;"SW_RST";;;
37;"SW2";"SW-PB";1;"SW_UP";;;
38;"SW3";"SW-PB";1;"SW_DN";;;
39;"SW4";"SW-PB";1;"SW_OK";;;
40;"SW5";"SW-PB";1;"SW_LT";;;
41;"SW6";"SW-PB";1;"SW_RT";;;
42;"SC9,SC6,SC7,SC5,SC8,SC2,SC3,SC1,SC4,SC12,SC11,SC10";"vite_3mm";12;"SCREW";;;
43;"J4";"PIN_ARRAY_3x1";1;"SW_EXT";;;
44;"J8,J9";"bornier2";2;"5V_EXT";;;
45;"J7";"bornier2";1;"V_IN";;;
46;"J6";"STACK-L";1;"STACK_L";;;
47;"J15";"pin_strip_2";1;"SER_2";;;
48;"J16";"pin_strip_2";1;"PWR_2";;;
49;"J11";"pin_strip_2";1;"SER_1";;;
50;"J10";"pin_strip_2";1;"PWR_1";;;
51;"SD1";"SD_Micro_seeed";1;"SD_CARD_MICRO";;;
52;"J18";"PIN_ARRAY_3x1";1;"EqIn_EXT";;;
53;"C15";"c_0603";1;"33pF";;;
54;"SP1";"Speaker_2";1;"SPEAKER";;;
55;"C12,C24,C26,C25";"c_1210";4;"22uF X7R";;;
56;"C4";"c_1206";1;"10uF X7R";;;
57;"L1";"Inductor_SMD3";1;"2u2H,3.0A";;;
58;"U6_Alt1";"DIP-8__300";1;"MSGEQ7_DIP";;;
59;"U1_Alt1";"SOT89";1;"MCP1700T-3V3 SOT89";;;
60;"P2";"PIN_ARRAY_3x1";1;"SPK<>EQ2";;;
61;"P3";"PIN_ARRAY-6X1";1;"EQ_SH";;;
